JI_Value,Frequency
0.0,0.0544
0.04,0.0003
0.05,0.0003
0.08,0.0003
0.09,0.0005
0.1,0.0003
0.11,0.0005
0.13,0.0005
0.14,0.0021
0.15,0.0008
0.17,0.0008
0.18,0.0005
0.19,0.0005
0.2,0.0011
0.21,0.0016
0.22,0.0008
0.23,0.0013
0.24,0.0011
0.25,0.0032
0.26,0.0011
0.27,0.0011
0.28,0.0016
0.29,0.0011
0.3,0.0013
0.31,0.0011
0.32,0.0013
0.33,0.0053
0.35,0.0016
0.36,0.0074
0.37,0.0024
0.38,0.0029
0.39,0.0008
0.4,0.0042
0.41,0.0021
0.42,0.0042
0.43,0.0039
0.44,0.0047
0.45,0.0068
0.46,0.0013
0.47,0.0021
0.48,0.0013
0.5,0.0166
0.52,0.0011
0.53,0.0047
0.54,0.0029
0.55,0.0029
0.56,0.0053
0.57,0.0032
0.58,0.0034
0.59,0.0013
0.6,0.0058
0.61,0.0018
0.62,0.0079
0.63,0.0008
0.64,0.0066
0.65,0.0013
0.67,0.0134
0.68,0.0013
0.69,0.0021
0.7,0.0029
0.71,0.0137
0.72,0.0003
0.73,0.0016
0.74,0.0008
0.75,0.0121
0.76,0.0011
0.77,0.0018
0.78,0.0055
0.79,0.0039
0.8,0.0231
0.81,0.0016
0.82,0.0068
0.83,0.0221
0.84,0.0003
0.85,0.0037
0.86,0.0113
0.87,0.0124
0.88,0.0005
0.89,0.0066
0.9,0.0055
0.91,0.0042
0.92,0.0076
0.93,0.0039
0.94,0.005
0.95,0.0013
0.97,0.0003
1.0,0.6276
