Epoch,Train_Loss,Val_Loss,Val_Acc
1,0.6195,0.5882,70.49%
2,0.6010,0.5845,71.35%
3,0.5970,0.5812,71.43%
4,0.5945,0.5768,71.55%
5,0.5925,0.5787,71.54%
6,0.5911,0.5733,71.84%
7,0.5894,0.5718,71.88%
8,0.5881,0.5682,72.13%
9,0.5867,0.5674,72.31%
10,0.5850,0.5619,72.34%
11,0.5835,0.5644,72.46%
12,0.5817,0.5576,72.50%
13,0.5797,0.5589,72.50%
14,0.5774,0.5582,72.67%
15,0.5747,0.5574,72.92%
16,0.5722,0.5523,73.06%
17,0.5692,0.5417,73.87%
18,0.5652,0.5416,73.72%
19,0.5610,0.5438,74.02%
20,0.5555,0.5445,73.95%
21,0.5498,0.5402,74.38%
22,0.5454,0.5242,74.60%
23,0.5404,0.5212,74.48%
24,0.5341,0.5129,74.71%
25,0.5282,0.5241,74.23%
26,0.5222,0.5161,74.98%
27,0.5170,0.5234,74.53%
28,0.5109,0.5174,74.88%
29,0.5039,0.5236,74.55%
30,0.5004,0.5127,74.54%
31,0.4948,0.5151,74.48%
32,0.4890,0.5058,75.18%
33,0.4826,0.5105,74.58%
34,0.4787,0.5059,74.62%
35,0.4724,0.5009,75.26%
36,0.4695,0.5088,74.80%
37,0.4621,0.4985,75.46%
38,0.4584,0.5045,75.19%
39,0.4542,0.5008,75.49%
40,0.4507,0.5055,75.03%
41,0.4470,0.5087,74.72%
42,0.4449,0.5119,74.82%
43,0.4396,0.4989,75.31%
44,0.4490,0.5053,75.28%
45,0.4364,0.5003,75.58%
46,0.4295,0.4988,75.68%
47,0.4222,0.4955,75.75%
48,0.4166,0.5040,75.43%
49,0.4114,0.4945,75.54%
50,0.4069,0.4925,75.73%
51,0.4027,0.4868,76.03%
52,0.3965,0.4882,76.24%
53,0.3914,0.4894,76.06%
54,0.3885,0.4794,76.90%
55,0.3829,0.4807,76.61%
56,0.3803,0.4693,77.46%
57,0.3765,0.4725,77.19%
58,0.3715,0.4711,77.41%
59,0.3678,0.4767,77.09%
60,0.3633,0.4656,77.82%
61,0.3602,0.4655,77.78%
62,0.3571,0.4602,78.19%
63,0.3546,0.4656,78.14%
64,0.3511,0.4645,77.79%
65,0.3479,0.4647,78.12%
66,0.3451,0.4633,78.00%
67,0.3435,0.4526,78.66%
68,0.3373,0.4732,77.81%
69,0.3361,0.4545,78.44%
70,0.3338,0.4527,78.69%
71,0.3320,0.4516,78.88%
72,0.3278,0.4579,78.72%
73,0.3248,0.4525,79.03%
74,0.3229,0.4514,79.06%
75,0.3208,0.4492,79.06%
76,0.3180,0.4439,79.27%
77,0.3180,0.4443,79.59%
78,0.3156,0.4483,79.26%
79,0.3137,0.4452,79.49%
80,0.3134,0.4362,79.59%
81,0.3086,0.4337,80.20%
82,0.3065,0.4430,79.77%
83,0.3054,0.4423,79.70%
84,0.3050,0.4525,79.64%
85,0.3018,0.4335,80.16%
86,0.3003,0.4384,79.95%
87,0.2981,0.4432,79.57%
88,0.2973,0.4353,80.00%
89,0.2953,0.4266,80.46%
90,0.2919,0.4212,80.92%
91,0.2918,0.4212,80.78%
92,0.2918,0.4440,79.95%
93,0.2872,0.4241,80.98%
94,0.2877,0.4223,80.73%
95,0.2853,0.4229,80.85%
96,0.2864,0.4348,80.37%
97,0.2862,0.4237,80.79%
98,0.2832,0.4262,80.89%
99,0.2809,0.4238,80.87%
100,0.2784,0.4286,80.51%
101,0.2763,0.4262,81.02%
102,0.2738,0.4195,81.22%
103,0.2732,0.4309,80.75%
104,0.2732,0.4216,81.08%
105,0.2724,0.4149,81.38%
106,0.2710,0.4232,81.13%
107,0.2690,0.4154,81.39%
108,0.2681,0.4219,81.21%
109,0.2650,0.4205,81.32%
110,0.2657,0.4124,81.60%
111,0.2625,0.4236,81.26%
112,0.2624,0.4127,81.80%
113,0.2607,0.4094,81.94%
114,0.2602,0.4179,81.66%
